Run ID,Total Time in Environment,Percentage Searched,Percentage Found,Percentage Not Found,Total Mission Time,Number of Recharges,Time in Backtracking,Percentage Recharging,Min Battery,Max Battery,Average Battery,Dead Bots,WPT Summary
10_10_1_20_10_1_1_5_2_5_0.2_5,3158,46.04,40.00,60.00,3000,10,773,25.77,0,0,0.0,6,Bots Recharged for WPT: 10
10_10_1_50_10_1_1_5_2_5_0.2_5,4141,49.36,40.00,60.00,3000,13,1189,39.63,0,72.0000000000001,31.86666666666672,3,Bots Recharged for WPT: 13
10_10_10_1_10_1_1_5_2_5_0.2_5,3221,42.00,40.00,60.00,3000,1,1262,42.07,0,39.20000000000019,6.533333333333364,5,Bots Recharged for WPT: 1
10_10_10_10_10_1_1_5_2_5_0.2_5,3715,41.76,30.00,70.00,3000,2,1244,41.47,0,36.80000000000017,6.133333333333361,5,Bots Recharged for WPT: 2
10_10_10_20_10_1_1_5_2_5_0.2_5,4078,45.32,30.00,70.00,3000,63,1615,53.83,0,100,32.00000000000001,4,Bots Recharged for WPT: 63
10_10_10_50_10_1_1_5_2_5_0.2_5,4277,42.00,20.00,80.00,3000,6,1248,41.60,0,34.40000000000019,5.733333333333365,5,Bots Recharged for WPT: 6
10_10_20_1_10_1_1_5_2_5_0.2_5,5000,35.76,0.00,100.00,3000,2,883,29.43,0,57.60000000000014,26.13333333333341,3,Bots Recharged for WPT: 2
10_10_20_10_10_1_1_5_2_5_0.2_5,3448,40.32,40.00,60.00,3000,4,1287,42.90,0,66.40000000000012,11.066666666666686,5,Bots Recharged for WPT: 4
10_10_20_20_10_1_1_5_2_5_0.2_5,4691,39.88,20.00,80.00,3000,7,971,32.37,0,66.40000000000012,11.066666666666686,5,Bots Recharged for WPT: 7
10_10_20_50_10_1_1_5_2_5_0.2_5,5000,35.64,0.00,100.00,3000,8,1005,33.50,0,85.60000000000005,24.901285383119898,3,Bots Recharged for WPT: 8
10_10_50_1_10_1_1_5_2_5_0.2_5,3959,43.28,30.00,70.00,3000,11,556,18.53,0,84.80000000000005,33.33333333333339,3,Bots Recharged for WPT: 11
10_10_50_10_10_1_1_5_2_5_0.2_5,4531,36.52,10.00,90.00,3000,19,1330,44.33,0,98.4,31.066666666666674,4,Bots Recharged for WPT: 19
10_10_50_20_10_1_1_5_2_5_0.2_5,3705,34.56,30.00,70.00,3000,2,1559,51.97,0,0,0.0,6,Bots Recharged for WPT: 2
10_10_50_50_10_1_1_5_2_5_0.2_5,4285,36.72,20.00,80.00,3000,16,834,27.80,0,48.80000000000017,14.550416258154852,3,Bots Recharged for WPT: 16
10_20_1_1_10_1_1_5_2_5_0.2_5,2497,45.12,60.00,40.00,3000,23,1445,48.17,0,0,0.0,6,Bots Recharged for WPT: 23
10_20_1_10_10_1_1_5_2_5_0.2_5,3702,44.12,40.00,60.00,3000,30,1115,37.17,0,89.60000000000004,18.800000000000036,4,Bots Recharged for WPT: 30
10_20_1_20_10_1_1_5_2_5_0.2_5,4220,40.76,20.00,80.00,3000,3,1601,53.37,0,0,0.0,6,Bots Recharged for WPT: 3
10_20_1_50_10_1_1_5_2_5_0.2_5,3674,40.56,30.00,70.00,3000,6,1498,49.93,0,0,0.0,6,Bots Recharged for WPT: 6
10_20_10_1_10_1_1_5_2_5_0.2_5,3546,45.64,40.00,60.00,3000,27,1169,38.97,0,44.800000000000175,7.466666666666696,5,Bots Recharged for WPT: 27
10_20_10_10_10_1_1_5_2_5_0.2_5,4082,45.04,20.00,80.00,3000,2,1627,54.23,0,0,0.0,6,Bots Recharged for WPT: 2
10_20_10_20_10_1_1_5_2_5_0.2_5,2753,43.48,50.00,50.00,3000,4,1742,58.07,0,0,0.0,6,Bots Recharged for WPT: 4
10_20_10_50_10_1_1_5_2_5_0.2_5,4056,40.84,20.00,80.00,3000,10,1366,45.53,0,74.40000000000009,19.333333333333382,4,Bots Recharged for WPT: 10
10_20_20_1_10_1_1_5_2_5_0.2_5,3679,40.04,30.00,70.00,3000,1,1696,56.53,0,0,0.0,6,Bots Recharged for WPT: 1
10_20_20_10_10_1_1_5_2_5_0.2_5,2791,41.04,50.00,50.00,3000,4,1730,57.67,0,51.200000000000145,8.533333333333358,5,Bots Recharged for WPT: 4
10_20_20_20_10_1_1_5_2_5_0.2_5,2261,42.48,60.00,40.00,3000,6,1230,41.00,0,68.00000000000011,12.386900373916156,4,Bots Recharged for WPT: 6
10_20_20_50_10_1_1_5_2_5_0.2_5,3235,42.12,40.00,60.00,3000,4,1986,66.20,0,40.00000000000016,6.666666666666694,5,Bots Recharged for WPT: 4
10_20_50_1_10_1_1_5_2_5_0.2_5,3381,39.32,40.00,60.00,3000,13,1236,41.20,0,44.00000000000015,7.333333333333358,5,Bots Recharged for WPT: 13
10_20_50_10_10_1_1_5_2_5_0.2_5,4118,35.96,20.00,80.00,3000,1,520,17.33,0,0,0.0,6,Bots Recharged for WPT: 1
10_20_50_20_10_1_1_5_2_5_0.2_5,4106,34.72,20.00,80.00,3000,1,529,17.63,0,0,0.0,6,Bots Recharged for WPT: 1
10_20_50_50_10_1_1_5_2_5_0.2_5,4268,42.04,40.00,60.00,3000,10,281,9.37,0,88.80000000000004,37.06666666666671,3,Bots Recharged for WPT: 10
10_50_1_1_10_1_1_5_2_5_0.2_5,3885,42.28,30.00,70.00,3000,26,1428,47.60,0,79.20000000000007,36.00000000000005,3,Bots Recharged for WPT: 26
10_50_1_10_10_1_1_5_2_5_0.2_5,3650,41.96,30.00,70.00,3000,4,1513,50.43,0,0,0.0,6,Bots Recharged for WPT: 4
10_50_1_20_10_1_1_5_2_5_0.2_5,3721,39.36,30.00,70.00,3000,16,777,25.90,0,17.843474569637042,2.97391242827284,5,Bots Recharged for WPT: 16
