Run ID,Total Time in Environment,Percentage Searched,Percentage Found,Percentage Not Found,Total Mission Time,Number of Recharges,Time in Backtracking,Percentage Recharging,Min Battery,Max Battery,Average Battery,Dead Bots,WPT Summary
1_10_20_10_10_1_1_5_2_5_0.2_5,5000,21.08,0.00,100.00,3000,20,998,33.27,0,100,22.00000000000004,4,Bots Recharged for WPT: 20
1_10_20_20_10_1_1_5_2_5_0.2_5,5000,20.04,0.00,100.00,3000,12,905,30.17,0,100,32.800000000000054,3,Bots Recharged for WPT: 12
1_10_20_50_10_1_1_5_2_5_0.2_5,5000,20.92,0.00,100.00,3000,8,831,27.70,0,100,33.73333333333339,3,Bots Recharged for WPT: 8
1_10_50_1_10_1_1_5_2_5_0.2_5,5000,22.56,0.00,100.00,3000,32,201,6.70,0,100,36.8000000000001,2,Bots Recharged for WPT: 32
1_10_50_10_10_1_1_5_2_5_0.2_5,5000,25.76,0.00,100.00,3000,20,502,16.73,0,100,51.50226087521042,1,Bots Recharged for WPT: 20
1_10_50_20_10_1_1_5_2_5_0.2_5,5000,18.64,0.00,100.00,3000,26,14,0.47,2.442823176449587,100,60.540470529408346,0,Bots Recharged for WPT: 26
1_10_50_50_10_1_1_5_2_5_0.2_5,5000,14.72,0.00,100.00,3000,2,408,13.60,0,100,32.13333333333339,3,Bots Recharged for WPT: 2
1_20_1_1_10_1_1_5_2_5_0.2_5,5000,33.36,0.00,100.00,3000,26,907,30.23,0,100,40.2666666666667,3,Bots Recharged for WPT: 26
1_20_1_10_10_1_1_5_2_5_0.2_5,4566,31.24,10.00,90.00,3000,19,830,27.67,0,100,46.80000000000007,2,Bots Recharged for WPT: 19
1_20_1_20_10_1_1_5_2_5_0.2_5,5000,17.08,0.00,100.00,3000,2,25,0.83,0,100,39.466666666666804,1,Bots Recharged for WPT: 2
1_20_1_50_10_1_1_5_2_5_0.2_5,5000,13.88,0.00,100.00,3000,3,42,1.40,68.00000000000011,100,80.93333333333341,0,Bots Recharged for WPT: 3
1_20_10_1_10_1_1_5_2_5_0.2_5,5000,25.52,0.00,100.00,3000,15,1294,43.13,0,100,41.4666666666667,3,Bots Recharged for WPT: 15
1_20_10_10_10_1_1_5_2_5_0.2_5,5000,19.84,0.00,100.00,3000,0,423,14.10,0,100,40.93333333333342,2,Bots Recharged for WPT: 0
1_20_10_20_10_1_1_5_2_5_0.2_5,5000,18.84,0.00,100.00,3000,13,879,29.30,0,100,53.200000000000045,2,Bots Recharged for WPT: 13
1_20_10_50_10_1_1_5_2_5_0.2_5,5000,21.20,0.00,100.00,3000,15,337,11.23,0,100,58.80000000000009,1,Bots Recharged for WPT: 15
1_20_20_1_10_1_1_5_2_5_0.2_5,5000,29.84,0.00,100.00,3000,32,923,30.77,0,100,34.59638071416941,3,Bots Recharged for WPT: 32
1_20_20_10_10_1_1_5_2_5_0.2_5,5000,28.04,0.00,100.00,3000,22,768,25.60,0,100,39.98140521790905,2,Bots Recharged for WPT: 22
1_20_20_20_10_1_1_5_2_5_0.2_5,5000,17.20,0.00,100.00,3000,11,1132,37.73,0,100,38.66666666666671,3,Bots Recharged for WPT: 11
